,2021_Q1_mSAR,2021_Q2_mSAR,Section Description,Section_Num
6,5124.105264,4644.5820619999995,Live animals; animal products,1
7,8425.51836,8412.106256,Vegetable products,2
8,1052.075508,1014.7012950000001,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,3
9,7074.709285999999,7146.520745,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes",4
10,4123.354467,7310.717962999999,Mineral products,5
11,13903.884165,15887.925115,Products of the chemical or allied industries,6
12,5050.023616,5604.43242,Plastics and articles thereof; rubber and articles thereof,7
13,466.30888500000003,408.905142,"Raw hides and skins, leather, furskins and articles thereof; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",8
14,1174.5831819999999,1410.686669,"Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",9
15,1452.55486,1747.468422,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard; paper and paperboard and articles thereof,10
16,5505.859544000001,4910.724366,Textiles and textile articles,11
17,1103.814127,906.115958,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair",12
18,2063.730818,1764.369658,"Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware",13
19,5375.119551,5072.590651,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal and articles thereof; imitation jewellery; coin",14
20,11657.990332000001,12541.020653,Base metals and articles of base metal,15
21,27893.963757999998,26582.811135,"Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",16
22,22649.439999000002,24740.171216,"Vehicles, aircraft, vessels and associated transport equipment",17
23,4127.212287,3807.0630149999997,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof",18
24,6003.02639,1219.652885,Arms and ammunition; parts and accessories thereof,19
25,3591.651804,3383.210658,Miscellaneous manufactured articles,20
26,1683.2821020000001,2428.455551,"Works of art, collectors' pieces and antiques",21
27,139502.208305,140944.23183499998,Total,
