,2018 Value(millions in SAR),2019 Value(millions in SAR),2020 Value(millions in SAR),Section Description,Section Number,2021 Value(millions in SAR)
0,18095.450548,19507.619134,19013.048509,Live animals; animal products,1,19001.093
1,32996.027181,31123.980544,34922.104079,Vegetable products,2,32737.383
2,3521.849209,3338.453922,3363.130944,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,3,4262.998
3,25635.233829,27399.318015,28417.779143,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes",4,28601.617
4,21090.437514,18021.236913,18612.873864,Mineral products,5,28683.826
5,51715.771619,53854.494181,53404.397121,Products of the chemical or allied industries,6,60378.494
6,17486.718316,20567.953322,19462.28722,Plastics and articles thereof; rubber and articles thereof,7,21745.13
7,1872.681936,2295.584415,1650.055971,"Raw hides and skins, leather, furskins and articles thereof; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",8,1746.679
8,4271.516713,4750.736646,5169.182124,"Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",9,5668.442
9,7260.801908,7150.67374,6547.644869,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard; paper and paperboard and articles thereof,10,6890.31
10,18115.072085,22732.145945,20018.080892,Textiles and textile articles,11,20972.063
11,3341.486274,4099.506056,3023.086301,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair",12,3929.5
12,6930.86817,7631.411464,8153.245459,"Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware",13,7429.629
13,15725.216602,13506.827734,7173.299797,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal and articles thereof; imitation jewellery; coin",14,20429.158
14,43987.942217,48895.921336,49600.050179,Base metals and articles of base metal,15,53393.309
15,111167.035485,120291.009235,109093.738466,"Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",16,113849.744
16,84651.755545,118264.134784,83009.123636,"Vehicles, aircraft, vessels and associated transport equipment",17,96963.158
17,15758.160291,16482.857929,16094.427194,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof",18,15676.492
18,13867.239072,9872.298193,9529.140691,Arms and ammunition; parts and accessories thereof,19,12388.869
19,12049.751506,13700.36864,13251.889371,Miscellaneous manufactured articles,20,14473.327
20,4451.674179,10874.922456,7982.00844,"Works of art, collectors' pieces and antiques",21,8919.785
