,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,الفهرس / Index
0,,,,,,
1,نسبة الصادرات غير البترولية للواردات,,,,,
2,Ratio of Non-oil Exports to Imports,,,,,
3,السنة,"الصادرات غير البترولية
Non-oil Exports","الواردات
Imports","نسبة الصادرات غير البترولية للواردات (%)
Ratio of Non-oil Exports to Imports (%)",,
4,Year,القيمة (مليون ريال) / (Million Riyals),,,,
5,2011,176567.731649,493449.08258499997,35.78236091230041,,
6,2012,190951.553513,583473.067875,32.726712512788744,,
7,2013,202443.212959,630582.433092,32.10416312524586,,
8,2014,217029.903583,651875.760674,33.293139072789614,,
9,2015,189901.077563,655033.363532,28.991054217305205,,
10,2016,177693.53221399998,525635.962804,33.80543661169901,,
11,2017,193479.004472,504446.616737,38.35470356080768,,
12,2018,235458.083665,513992.690199,45.80961717059417,,
13,2019,229184.23463700002,574361.454604,39.902439970491,,
14,2020,204352.73742499994,517490.59427,39.48916940476394,,
