,Value(millions SAR),Section Description
0,19001.093,Live animals; animal products
1,32737.383,Vegetable products
2,4262.998,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
3,28601.617,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
4,28683.826,Mineral products
5,60378.494,Products of the chemical or allied industries
6,21745.13,Plastics and articles thereof; rubber and articles thereof
7,1746.679,"Raw hides and skins, leather, furskins and articles thereof; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)"
8,5668.442,"Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"
9,6890.31,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard; paper and paperboard and articles thereof
10,20972.063,Textiles and textile articles
11,3929.5,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair"
12,7429.629,"Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware"
13,20429.158,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal and articles thereof; imitation jewellery; coin"
14,53393.309,Base metals and articles of base metal
15,113849.744,"Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles"
16,96963.158,"Vehicles, aircraft, vessels and associated transport equipment"
17,15676.492,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof"
18,12388.869,Arms and ammunition; parts and accessories thereof
19,14473.327,Miscellaneous manufactured articles
20,8919.785,"Works of art, collectors' pieces and antiques"
