,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
0,,,,
1,"التجارة الخارجية
للمملكة العربية السعودية",,"International trade
of Saudi Arabia",
2,,,,
3,2019,,2019,
4,رقم الجدول,العــنــوان,Subject,Table
5,M_AR,المنهجية,Methodology,M_EN
6,1,الصادرات السلعية,Merchandise Exports,1
7,1.1,الصادرات البترولية وغير البترولية,Oil and Non-oil Exports,1.1
8,1.2,الصادرات حسب الأقسام,Exports by Section,1.2
9,1.3,الصادرات حسب مجموعات الدول,Exports by Group of Countries,1.3
10,1.4,الصادرات حسب الدول,Exports by Country,1.4
11,1.5,الصادرات غير البترولية حسب وسيلة النقل والمنافذ الجمركية,Non-oil Exports by Mode of Transport and Customs Port,1.5
12,2,الواردات السلعية,Merchandise Imports,2
13,2.1,الواردات حسب الأقسام,Imports by Section,2.1
14,2.2,الواردات حسب مجموعات الدول ,Imports by Group of Countries,2.2
15,2.3,الواردات حسب الدول,Imports by Country,2.3
16,2.4,الواردات حسب استخدام المواد,Imports by Utilization of Items,2.4
17,2.5,الواردات حسب طبيعة المواد,Imports by Nature of Items,2.5
18,2.6,الواردات حسب وسيلة النقل والمنافذ الجمركية,Imports by Mode of Transport and Customs Port,2.6
19,3,حجم التجارة والميزان التجاري,Trade Volume and Trade Balance,3
20,4,نسبة الصادرات غير البترولية للواردات,Ratio of Non-oil Exports to Imports,4
21,5,التبادل التجاري بين المملكة ودول مجلس التعاون الخليجي,Trade with the GCC Countries,5
